Common Name,Scientific Name,Image,Description,Tree Number
White Oak,Quercus alba,\Images\Trees\1470_Quercus_alba.jpg,"This tree has tyloses that give the wood a closed cellular structure, making it water- and rot-resistant, thus it is used for wine and whiskey barrels and the USS Constitution ship structure.  The fruit is an acorn, a valuable food for turkeys, wood ducks, pheasants, grackles, jays, nuthatches, thrushes, woodpeckers, rabbits, squirrels, and deer.",1470
Japanese Maple,Acer palmatum,\Images\Trees\1336_Acer_palmatum.jpg,"Indigenous to southeast Asia, with over 1000 cultivars, this tree is prized for its ornamental character. The branches and leaves are used as a treatment in traditional Chinese medicine.",1336
